english,spanish,french,italian,german,japanese
Hermitaur Vest Z,Chaleco Hermitaur Z,Tunique Hermitaur Z,Pettor. Hermitaur Z,Hermitaur-Weste Z,
Plesioth Mail Z,Malla de Plesioth Z,Cotte Plesioth Z,Cotta Plesioth Z,Plesioth-Panzer Z,
Plesioth Vest Z,Chaleco Plesioth Z,Tunique Plesioth Z,Pettorina Plesioth Z,Plesioth-Weste Z,
Blango Mail Z,Malla Blango Z,Cotte Blango Z,Cotta Blango Z,Blango-Panzer Z,
Blango Vest Z,Chal. Blango Z,Tunique Blango Z,Pettorina Blango Z,Blango-Weste Z,
Ceanataur Mail Z,Malla Ceanataur Z,Cotte Ceanataur Z,Cotta Ceanataur Z,Ceanataur-Panzer Z,
Ceanataur Vest Z,Chal. Ceanataur Z,Tunique Ceanataur Z,Pettor. Ceanataur Z,Ceanataur-Weste Z,
Diablo Mail Z,Malla Diablo Z,Cotte Diablo Z,Cotta Diablo Z,Diablos-Panzer Z,
Diablo Vest Z,Chal. Diablo Z,Tunique Diablo Z,Pettorina Diablo Z,Diablos-Weste Z,
Gravios Mail Z,Malla Gravios Z,Cotte Gravios Z,Cotta Gravios Z,Gravios-Panzer Z,
Gravios Vest Z,Chal. Gravios Z,Tunique Gravios Z,Pettorina Gravios Z,Gravios-Weste Z,
Chakra Necklace,Collar Chakra,Collier Chakra,Collana Chakra,Chakra-Halskette,
(dummy)Famitsu T-Shirt X,(dummy)Famitsu T-Shirt X,(dummy)Famitsu T-Shirt X,(dummy)Famitsu T-Shirt X,(dummy)Famitsu T-Shirt X,
HuntingSoulT-ShirtX,Camis. Caz. Almas X,T-s âme chasseresseX,Magl. Anima Caccia X,Jägerseelen-T-ShirtX,
Hunter T-Shirt X,Camiseta Cazador X,T-shirt chasseur X,Magl. Cacciatore X,Jäger-T-Shirt X,
Golden Haori Shin,Haori Dorado Shin,Haori doré Shin,Haori Dorato Shin,Gold-Haori Shin,
PupptMastrCostShin,Traje Titir. Shin,Cost. marion. Shin,Costume Buratt. Shin,DrahtziehrKostümShin,
Black Belt Mail X,Malla Cint Negro X,Cotte ceint. noire X,Cotta Cintura Nera X,Schwarzgurt-Panzer X,
Black Belt Vest X,Chal. Cint Negro X,Tun. ceint. noire X,Pett. Cintura Nera X,Schwarzgurt-Weste X,
Obituary Petto X,Peto de Obituario X,Petto nécrologie X,Petto Necrologio X,Todes-Petto X,
Obituary Pectus X,Pecho de Obituario X,Pectus nécrologie X,Pectus Necrologio X,Todes-Pectus X,
Butterfly Petto X,Peto de Mariposa X,Petto papillon X,Petto Farfalla X,SchmetterlingPettoX,
Butterfly Pectus X,Pecho de Mariposa X,Pectus papillon X,Pectus Farfalla X,SchmetterlingPectusX,
Mizuha Guards Shin,Guardbr. Mizuha Shin,Gardes Mizuha Shin,ProtezioniMizuhaShin,Mizuha-Schutz Shin,
ExtrvagantCamiseShin,Camisa Extrav. Shin,Camise extrav. Shin,Tunica Stravag. Shin,ExtravgntrSchutzShin,
Kushala Cista X,Cista Kushala X,Cista Kushala X,Cista di Kushala X,Kushala-Cista X,
Kushala Vise X,Torso Kushala X,Étau Kushala X,Morso di Kushala X,Kushala-Vise X,
Kirin Jacket X,Chaqueta Kirin X,Gilet Kirin X,Giacca Kirin X,Kirin-Jacke X,
Kirin Cape X,Capa de Kirin X,Cape Kirin X,Cappa Kirin X,Kirin-Cape X,
Empress Mail X,Malla Emperat. X,Cotte Impératrice X,Cotta Imperatrice X,Kaiserin-Panzer X,
Empress Vest X,Chal. Emperat. X,Tun. Impératrice X,Pett. Imperatrice X,Kaiserin-Weste X,
Indra Vest Shin,Chal. Indra Shin,Tunique Indra Shin,Pettorina Indra Shin,Indra-Weste Shin,
Steadfast Vest Shin,Chaleco Firme Shin,Tunique inéb. Shin,Pettorina solidaShin,StandfesteWesteShin,
Kaiser Mail X,Malla Kaiser X,Cotte Kaiser X,Cotta Kaiser X,Kaiser-Panzer X,
Kaiser Vest X,Chal. Kaiser X,Tunique Kaiser X,Pettorina Kaiser X,Kaiser-Weste X,
GuardSprRaimentShin,VestimEspírGuarShin,Vêt. esprit Gar.Shin,VesteSpir.Guard.Shin,WächterseelnGwndShin,
Carnage Raiment Shin,Vestim. Matanza Shin,Vêt. carnage Shin,Veste Strage Shin,Gemetzelgewand Shin,
Dragonhide X,Piel de Dragón X,Cuir-de-dragon X,Pelle-di-Drago X,Drachenlederhaut X,
Dragonskin X,Pellejo de Dragón X,Peau-de-dragon X,Pellame-di-Drago X,Drachenhaut X,
Dark Ukanlos Aegis,Égida Ukanlos Oscura,Aegis Ukanlos smb,Egida Ukanlos Scuro,SchwarzUkanlosAegis,
Dark Ukanlos Plate,Placa Ukanlos Oscura,Plastron Ukanlos smb,Coraz. UkanlosSscuro,SchwarzUkanlosPlatte,
MelahoaFlowerJacketZ,ChaqFloresMelahoa Z,Gil.Fleur Melahoa Z,Giacca FioreMelahoaZ,Melahoa-BlumenjackeZ,
Melahoa Stalk Z,Esqueje Melahoa Z,Tige Melohoa Z,Stelo Melahoa Z,Melahoa-Stengel Z,
Makluva Cover Z,Poncho de Makluva Z,Poncho Makluva Z,Copertura Makluva Z,Makluva-Hülle Z,
Makluva Scale Z,Escama Makluva Z,Écaille Makluva Z,Squama Makluva Z,Makluva-Schuppe Z,
Rathian Heart Mail Z,Malla Cor. Rathian Z,Cot. cœur Rathian Z,Cotta Cuore RathianZ,Rathianherz-Panzer Z,
Rathian Heart Vest Z,Chal. Cor. Rathian Z,Tun. cœur Rathian Z,Pettor.CuoreRathianZ,Rathianherz-Weste Z,
Rathalos Soul Mail Z,Malla Alma Rathlos Z,Cotte âme Rathalos Z,Cotta AnimaRathalosZ,RathalosseelenPanzrZ,
Rathalos Soul Vest Z,Chal. Alma Rathlos Z,Tun. âme Rathalos Z,Pett. AnimaRathalosZ,RathalosseelenWesteZ,
Golden Moon Mail Z,Malla Sol Dorado Z,Cotte Lune dorée Z,Cotta Luna Dorata Z,Goldmond-Panzer Z,
Golden Moon Vest Z,Chal. Sol Dorado Z,Tunique Lune dorée Z,Pettor.Luna Dorata Z,Goldmond-Weste Z,
Silver Sol Mail Z,Malla Sol Plateado Z,Cotte Sol argenté Z,Cotta Sole Argent. Z,Silbersonnen-PanzerZ,
Silver Sol Vest Z,Chal. Sol Plateado Z,Tun. Sol argenté Z,Pett. Sole Argent. Z,Silbersonnen-Weste Z,
Auroros Torso Goku,Torso Auroros Goku,Plastr. Auroros Goku,Corazza Auroros Goku,Auroros-Torso Goku,
Genesis Torso Goku,Torso Génesis Goku,Plastr. Genesis Goku,Corazza Genesis Goku,Genesis-Torso Goku,
Borealis Chest Goku,Pechera Boreal Goku,Bust. Borealis Goku,Pettorale Bor. Goku,BorealisHarnischGoku,
Glyph Chest Goku,Pechera Glyph Goku,Bustier Gly phe Goku,Pettorale Glifo Goku,Glyph-Harnisch Goku,
Fatalis Hide Z,Piel de Fatalis Z,Cuir de Fatalis Z,Cuoio di Fatalis Z,Fatalis-Lederhaut Z,
Fatalis Skin Z,Pellejo de Fatalis Z,Peau de Fatalis Z,Pelle di Fatalis Z,Fatalis-Haut Z,
White Fatalis Hide Z,Piel Fatalis Bl. Z,Cuir Fatalis blanc Z,CuoioFatalis BiancoZ,WeißeFatalisLdrhautZ,
White Fatalis Skin Z,Pell. Fatalis Bl. Z,Peau Fatalis blanc Z,PelleFatalis BiancoZ,WeißeFatalisHaut Z,
Mafumofu Mittens,Mitones Mafumofu,Mitaines Mafumofu,Guanti Mafumofu,Mafumofu-Fäustlinge,
Leather Vambraces,Brazales de Cuero,Avant-bras en cuir,Parabraccia di Cuoio,Leder-Armschienen,
Chain Vambraces,Brazales Cota Malla,Avant-bras en maille,Parabraccia Maglia,Ketten-Armschienen,
Hunter's Vambraces,Brazales de Cazador,Avt-bras de chasseur,Parabraccia Cacciat.,Jäger-Armschienen,
Hunter's Guards,Guardabrazos Cazador,Gardes de chasseur,Protezioni Cacciat.,Jäger-Armschutz,
Bone Vambraces,Brazales de Hueso,Avant-bras d'os,Parabraccia d’Osso,Knochen-Armschienen,
Bone Guards,Guardabrazos Hueso,Gardes d'os,Protezioni d’Osso,Knochen-Armschutz,
Giaprey Vambraces,Brazales Giaprey,Avant-bras Giaprey,Parabraccia Giaprey,Giaprey-Armschienen,
Giaprey Guards,Guard. Giaprey,Gardes Giaprey,Protezioni Giaprey,Giaprey-Armschutz,
Battle Vambraces,Brazales de Combate,Avant-bras de combat,Parabr. Battaglia,Kampf-Armschienen,
Battle Guards,Guardabrazos Combate,Gardes de combat,Protez. Battaglia,Kampf-Armschutz,
Velociprey Braces,Brazales Velociprey,Avt-bras Velociprey,Parabr. Velociprey,VelocipreyArmschiene,
Velociprey Guards,Guardabr. Velociprey,Gardes Velociprey,Protez. Velociprey,Velociprey-Armschutz,
Vespoid Vambraces,Brazales de Vespoid,Avant-bras Vespoid,Parabraccia Vespoid,Vespoid-Armschienen,
Vespoid Guards,Guardabrazos Vespoid,Gardes Vespoid,Protezioni Vespoid,Vespoid-Armschutz,
Hi-Metal Vambraces,Brazales Megametal,Avt-bras haut-métal,Parabraccia Hi-Metal,HochmetallArmschiene,
Hi-Metal Guards,Guardabr. Megametal,Gardes haut-métal,Protezioni Hi-Metal,Hochmetall-Armschutz,
Hornet Vambraces,Brazales de Hornet.,Avant-bras Hornet,Parabraccia Hornet,HornissenArmschienen,
Hornet Guards,Guardab. de Hornet.,Gardes Hornet,Protezioni Hornet,Hornissen-Armschutz,
Genprey Vambraces,Brazales de Genprey,Avant-bras Genprey,Parabraccia Genprey,Genprey-Armschienen,
Genprey Guards,Guardabrazos Genprey,Gardes Genprey,Protezioni Genprey,Genprey-Armschutz,
Steel Vambraces,Brazales de acero,Avant-bras d'acier,Parabraccia acciaio,Stahl-Armschienen,
Ioprey Vambraces,Brazales de Ioprey,Avant-bras Ioprey,Parabraccia Ioprey,Ioprey-Armschienen,
Ioprey Guards,Guardabrazos Ioprey,Gardes Ioprey,Protezioni Ioprey,Ioprey-Armschutz,
Kut-Ku Vambraces,Brazales de Kut-Ku,Avant-bras Kut-Ku,Parabraccia Kut-Ku,Kut-Ku-Armschienen,
Kut-Ku Guards,Guardabr. de Kut-Ku,Gardes Kut-Ku,Protezioni Kut-Ku,Kut-Ku-Armschutz,
Cephalos Vambraces,Brazales Cephalos,Avant-bras Cephalos,Parabraccia Cephalos,Cephalos-Armschienen,
Cephalos Guards,Guardabr. Cephalos,Gardes Cephalos,Protezioni Cephalos,Cephalos-Armschutz,
Conga Vambraces,Braz. de Conga,Avant-bras Conga,Parabraccia Conga,Conga-Armschienen,
Conga Guards,Guard. de Conga,Gardes Conga,Protezioni di Conga,Conga-Armschutz,
Gypceros Vambraces,Brazales de Gypceros,Avant-bras Gypceros,Parabraccia Gypceros,Gypceros-Armschienen,
Gypceros Guards,Guardabr. Gypceros,Gardes Gypceros,Protezioni Gypceros,Gypceros-Armschutz,
Khezu Vambraces,Brazales de Khezu,Avant-bras Khezu,Parabraccia Khezu,Khezu-Armschienen,
Khezu Guards,Guardabrazos Khezu,Gardes Khezu,Protezioni Khezu,Khezu-Armschutz,
Hermitaur Braces,Brazales Hermitaur,Avant-bras Hermit.,Parabrac. Hermitaur,HermitaurArmschienen,
Hermitaur Guards,Guardabr. Hermitaur,Gardes Hermitaur,Protezioni Hermitaur,Hermitaur-Armschutz,
Plesioth Vambraces,Brazales de Plesioth,Avant-bras Plesioth,Parabraccia Plesioth,Plesioth-Armschienen,
Plesioth Guards,Guard. Plesioth,Gardes Plesioth,Protezioni Plesioth,Plesioth-Armschutz,
Lobster Vambraces,Brazales de Langosta,Avant-bras homard,Parabraccia Aragosta,Hummer-Armschienen,
Lobster Guards,Guardabr. Langosta,Gardes homard,Protezioni Aragosta,Hummer-Armschutz,
Kut-Ku Vambraces D,Brazales Kut-Ku D,Avant-bras Kut-Ku D,Parabraccia Kut-Ku D,Kut-Ku-Armschienen D,
Kut-Ku Guards D,Guardabraz. Kut-Ku D,Gardes Kut-Ku D,Protezioni Kut-Ku D,Kut-Ku-Armschutz D,
Gypceros Vambraces D,Brazales Gypceros D,Avt-bras Gypceros D,Parabr. Gypceros D,GypcerosArmschienenD,
Gypceros Guards D,Guardabr. Gypceros D,Gardes Gypceros D,Protez. Gypceros D,Gypceros-Armschutz D,
Khezu Vambraces D,Brazales de Khezu D,Avant-bras Khezu D,Parabraccia Khezu D,Khezu-Armschienen D,
Khezu Guards D,Guardabr. de Khezu D,Gardes Khezu D,Protezioni Khezu D,Khezu-Armschutz D,
Plesioth Vambraces D,Brazales Plesioth D,Avt-bras Plesioth D,Parabr. Plesioth D,PlesiothArmschienenD,
Plesioth Guards D,Guardabr. Plesioth D,Gardes Plesioth D,Protez. Plesioth D,Plesioth-Armschutz D,
Basarios Vambraces,Brazales de Basarios,Avant-bras Basarios,Parabraccia Basarios,Basarios-Armschienen,
Basarios Guards,Guardabr. Basarios,Gardes Basarios,Protezioni Basarios,Basarios-Armschutz,
Monoblos Vambraces,Brazales de Monoblos,Avant-bras Monoblos,Parabraccia Monoblos,Monoblos-Armschienen,
Monoblos Guards,Guardabr. Monoblos,Gardes Monoblos,Protezioni Monoblos,Monoblos-Armschutz,
Garuga Vambraces,Brazales de Garuga,Avant-bras Garuga,Parabraccia Garuga,Garuga-Armschienen,
Garuga Guards,Guardabrazos Garuga,Gardes Garuga,Protezioni Garuga,Garuga-Armschutz,
Blango Vambraces,Brazales de Blango,Avant-bras Blango,Parabraccia Blango,Blango-Armschienen,
Blango Guards,Guardabrazos Blango,Gardes Blango,Protezioni di Blango,Blango-Armschutz,
Ceanataur Braces,Brazales Ceanataur,Avant-bras Ceanataur,Parabr. di Ceanataur,CeanataurArmschienen,
Ceanataur Guards,Guard. Ceanataur,Gardes Ceanataur,Protezioni Ceanataur,Ceanataur-Armschutz,
Rathian Vambraces,Brazales de Rathian,Avant-bras Rathian,Parabraccia Rathian,Rathian-Armschienen,
Rathian Guards,Guardabrazos Rathian,Gardes Rathian,Protezioni Rathian,Rathian-Armschutz,
Tigrex Vambraces,Brazales de Tigrex,Avant-bras Tigrex,Parabraccia Tigrex,Tigrex-Armschienen,
Tigrex Guards,Guardabrazos Tigrex,Gardes Tigrex,Protezioni di Tigrex,Tigrex-Armschutz,
Rathalos Vambraces,Brazales de Rathalos,Avant-bras Rathalos,Parabraccia Rathalos,Rathalos-Armschienen,
Rathalos Guards,Guardabr. Rathalos,Gardes Rathalos,Protezioni Rathalos,Rathalos-Armschutz,
Diablo Vambraces,Brazales de Diablos,Avant-bras D iablos,Parabraccia Diablos,Diablos-Armschienen,
Diablo Guards,Guardabrazos Diablos,Gardes Diablos,Protezioni Diablos,Diablos-Armschutz,
Gravios Vambraces,Brazales de Gravios,Avant-bras Gravios,Parabraccia Gravios,Gravios-Armschienen,
Gravios Guards,Guardabrazos Gravios,Gardes Gravios,Protezioni Gravios,Gravios-Armschutz,
Diablo Vambraces D,Brazales Diablos D,Avt-bras Diablos D,ParabracciaDiablos D,DiablosArmschienen D,
Diablo Guards D,Guardabr. Diablos D,Gardes Diablos D,Protezioni Diablos D,Diablos-Armschutz D,
Gravios Vambraces D,Brazales Gravios D,Avant-bras Gravios D,Parabr. Gravios D,GraviosArmschienen D,
Gravios Guards D,Guardabr. Gravios D,Gardes Gravios D,Protezioni Gravios D,Gravios-Armschutz D,
Mosswine Gloves,Guantes Mosswine,Gants Mosswine,Guanti Mosswine,Mosswine-Handschuhe,
Giaprey Gloves,Guantes de Giaprey,Gants Giaprey,Guanti di Giaprey,Giaprey-Handschuhe,
Velociprey Gloves,Guantes Velociprey,Gants Velociprey,Guanti Velociprey,Velociprey-Handschuh,
Genprey Gloves,Guantes Genprey,Gants Genprey,Guanti Genprey,Genprey-Handschuhe,
Black Belt Vambraces,Brazal. Cint. Negro,Av-bras ceint. noire,Parabr. Cintura Nera,SchwarzgurtArmschien,
Shinobi Kote (Sun),Kote Shinobi (Sol),Kote Shinobi Soleil,Kote Shinobi (Sole),Shinobi-Kote Sonne,
Shinobi Kote (Moon),Kote Shinobi (Luna),Kote Shinobi Lune,Kote Shinobi (Luna),Shinobi-Kote Mond,
Guild Knight Gloves,Guantes Cab. Gremio,Gants de la guilde,Guanti Cav. Gilda,GildenritterHndschuh,
Guild Knight Sleeves,Mangas Cab. Gremio,Manches de la guilde,Maniche Cav. Gilda,Gildenritterärmel,
Guardian Vambraces,Brazales Guardián,Avt-bras du gardien,Parabr. Guardiano,Wächter-Armschienen,
Guardian Guards,Guardbr. Guardián,Gardes du gardien,Protezioni Guardiano,Wächter-Armschutz,
Maiden's Sleeves,Mangas de Doncella,Manches demoiselle,Maniche da Donna,Magdärmel,
Personal Sleeves,Mangas Personales,Manches personnelles,Maniche Personali,Persönliche Ärmel,
Helper Sleeves,Mangas de Ayudante,Manches aide,Maniche Aiutante,Helfer-Ärmel,
Healer Sleeves,Mangas de Sanador,Manches guérisseuses,Maniche Guaritrice,Heiler-Ärmel,
Ioprey Gloves,Guantes Ioprey,Gants Ioprey,Guanti Ioprey,Ioprey-Handschuhe,
Remobra Hands,Manos de Remobra,Mains Remobra,Mani di Remobra,Remobra-Hände,
Melahoa Branch,Rama Melahoa,Branche Melahoa,Ramo Melahoa,Melahoa-Zweig,
Melahoa Petal,Pétalo Melahoa,Pétale Melahoa,Petalo Melahoa,Melahoa-Blütenblatt,
Makluva Sleeves,Mangas de Makluva,Manches Makluva,Maniche Makluva,Makluva-Ärmel,
Makluva Sucker,Succionador Makluva,Ventouse Makluva,Parassita Makluva,Makluva-Sauger,
Hypno Vambraces,Braz. Hypno,Avant-bras Hypno,Parabraccia Hypno,Hypno-Armschienen,
Hypno Guards,Guardabr. Hypno,Gardes Hypno,Protezioni Hypno,Hypno-Armschutz,
Obituary Mano,Mano de Obituario,Mano nécrologie,Mano Necrologio,Todes-Mano,
Obituary Brasso,Brasso de Obituario,Brasso nécrologie,Brasso Necrologio,Todes-Brasso,
Butterfly Mano,Mano de Mariposa,Mano papillon,Mano Farfalla,Schmetterling-Mano,
Butterfly Brasso,Pulidor de Mariposa,Brasso papillon,Brasso Farfalla,Schmetterling-Brasso,
Black Claw,Garra Negra,Griffe noire,Artiglio Nero,Schwarze Klaue,
Black Fist,Puño Negro,Poing noir,Pugno Nero,Schwarze Faust,
Death Stench Grip,Zarpa Hedor Muerte,Prise odeur de mort,Stretta Puzza Morte,Todesgestank-Klaue,
Death Stench Grasp,Garra Hedor Muerte,Poigne odeur de mort,Presa Puzza di Morte,Todesgestank-Kralle,
Lava Vambraces,Braz. Lava,Avant-bras Lava,Parabraccia Lava,Lava-Armschienen,
Lava Guards,Guardabr. Lava,Gardes Lava X,Protezioni Lava X,Lava-Armschutz,
Mizuha Sleeves,Mangas Mizuha,Manches Mizuha,Maniche Mizuha,Mizuha-Ärmel,
Extravagant Sleeves,Mangas Extravagantes,Manches extravagance,Maniche Stravaganti,Extravagante Ärmel,
Kushala Grip,Apretón Kushala,Poigne Kushala,Stretta di Kushala,Kushala-Griff,
Kushala Embrace,Abrazo Kushala,Étreinte Kushala,Abbraccio di Kushala,Kushala-Umarmung,
Kirin Longarms,Prot. Brazos Kirin,Bras-longs Kirin,Copribraccia Kirin,Kirin-Armstulpen,
Kirin Gloves,Guantes de Kirin,Gants Kirin,Guanti Kirin,Kirin-Handschuhe,
GuardianSprtVambrces,Braz. Espír. Guard.,Avt-bras esprit Gar.,Parabr. Spir. Guard.,WächtrselnArmschiene,
Carnage Vambraces,Brazales Matanza,Avant-bras carnage,Parabraccia Strage,Gemetzel-Armschienen,
Auroros Gauntlets,Guanteletes Auroros,Gantelets Auroros,Guanti Auroros,Auroros-Armpanzer,
Genesis Gauntlets,Guanteletes Génesis,Gantelets Genesis,Guanti Genesis,Genesis-Armpanzer,
Borealis Gauntlets,Guanteletes Boreal,Gantelets Borealis,Guanti Borealis,Borealis-Armpanzer,
Glyph Gauntlets,Guanteletes Glyph,Gantelets Glyphe,Guanti Glifo,Glyph-Armpanzer,
Empress Vambraces,Brazales Emperatriz,Avant-b. Impératrice,Parabr. Imperatrice,Kaiserin-Armschienen,
Empress Guards,Guard. Emperatriz,Gardes Impératrice,Protez. Imperatrice,Kaiserin-Armschutz,
Indra Gloves,Guantes de Indra,Gants Indra,Guanti Indra,Indra-Handschuhe,
Steadfast Guards,Guardabrazos Firmes,Gardes inébranlables,Protezioni Solide,Standfester Armschtz,
Kaiser Vambraces,Brazales de Kaiser,Avant-bras Kaiser,Parabraccia Kaiser,Kaiser-Armschienen,
Kaiser Guards,Guardabr. de Kaiser,Gardes Kaiser,Protezioni Kaiser,Kaiser-Armschutz,
(dummy)Red Lobster Braces,(dummy)Red Lobster Braces,(dummy)Red Lobster Braces,(dummy)Red Lobster Braces,(dummy)Red Lobster Braces,
(dummy)Red Lobster Guards,(dummy)Red Lobster Guards,(dummy)Red Lobster Guards,(dummy)Red Lobster Guards,(dummy)Red Lobster Guards,
Monodevil Vambraces,Brazales Monodevil,Avant-bras Monodevil,Parabr. Monodevil,MonodevilArmschienen,
Monodevil Guards,Guardabr. Monodevil,Gardes Monodevil,Protezioni Monodevil,Monodevil-Armschutz,
Rathian Heart Braces,Brazal. Cor. Rathian,A-bras cœur Rathian,Parabr.Cuore Rathian,RathianHzArmschienen,
Rathian Heart Guards,Guard. Cor. Rathian,Gardes cœur Rathian,Protez.Cuore Rathian,RathianherzArmschutz,
Rathalos Soul Braces,Braz. Alma Rathalos,Av-bras âme Rathalos,Parabr.AnimaRathalos,RathalosseelenSchien,
Rathalos Soul Guards,Guard. Alma Rathal.,Gardes âme Rathalos,Prot. Anima Rathalos,RathalosseelenSchutz,
Mafumofu Mittens S,Mitones Mafumofu S,Mitaines Mafumofu S,Guanti Mafumofu S,Mafumofu-FäustlingeS,
Leather Vambraces S,Brazales de Cuero S,Avant-bras en cuir S,Parabraccia Cuoio S,Leder-Armschienen S,
Chain Vambraces S,Brazal. Cota Malla S,Avt-bras en maille S,Parabraccia Maglia S,Ketten-Armschienen S,
Hunter's Vambraces S,Brazales Cazador S,A-bras de chasseur S,Parabr. Cacciatore S,Jäger-Armschienen S,
Hunter's Guards S,Guardabr. Cazador S,Gardes de chasseur S,Protez. Cacciatore S,Jäger-Armschutz S,
Bone Vambraces S,Brazales de Hueso S,Avant-bras d'os S,Parabraccia Osso S,Knochen-ArmschienenS,
Bone Guards S,Guardabrazos Hueso S,Gardes d'os S,Protezioni d’Osso S,Knochen-Armschutz S,
Battle Vambraces S,Brazales Combate S,Avt-bras de combat S,Parabr. Battaglia S,Kampf-Armschienen S,
Battle Guards S,Guardabr. Combate S,Gardes de combat S,Protez. Battaglia S,Kampf-Armschutz S,
Velociprey Braces S,Brazal. Velociprey S,Av-bras Velociprey S,Parabr. Velociprey S,VelocipreyArmschienS,
Velociprey Guards S,Guard. Velociprey S,Gardes Velociprey S,Protez. Velociprey S,Velociprey-Schutz S,
Vespoid Vambraces S,Brazales Vespoid S,Avant-bras Vespoid S,Parabr. Vespoid S,VespoidArmschienen S,
Vespoid Guards S,Guardabr. Vespoid S,Gardes Vespoid S,Protezioni Vespoid S,Vespoid-Armschutz S,
Hi-Metal Vambraces S,Brazales Megametal S,Av-bras haut-métal S,Parabr. Hi-Metal S,HochmetallArmschienS,
Hi-Metal Guards S,Guard. Megametal S,Gardes haut-métal S,Protez. Hi-Metal S,Hochmetall-Schutz S,
Steel Vambraces S,Brazales de acero S,Avant-bras d'acier S,Parabr. Acciaio S,Stahl-Armschienen S,
Hornet Vambraces S,Brazales Hornet. S,Avant-bras Hornet S,Parabraccia Hornet S,HornissenArmschieneS,
Hornet Guards S,Guardab. Hornet. S,Gardes Hornet S,Protezioni Hornet S,Hornissen-ArmschutzS,
Genprey Vambraces S,Brazales Genprey S,Avant-bras Genprey S,Parabr. Genprey S,GenpreyArmschienen S,
Genprey Guards S,Guardabr. Genprey S,Gardes Genprey S,Protezioni Genprey S,Genprey-Armschutz S,
Ioprey Vambraces S,Brazales de Ioprey S,Avant-bras Ioprey S,Parabraccia Ioprey S,Ioprey-Armschienen S,
Ioprey Guards S,Guardabraz. Ioprey S,Gardes Ioprey S,Protezioni Ioprey S,Ioprey-Armschutz S,
Kut-Ku Vambraces S,Brazales de Kut-Ku S,Avant-bras Kut-Ku S,Parabraccia Kut-Ku S,Kut-Ku-Armschienen S,
Kut-Ku Guards S,Guardabr. Kut-Ku S,Gardes Kut-Ku S,Protezioni Kut-Ku S,Kut-Ku-Armschutz S,
Cephalos Vambraces S,Brazales Cephalos S,Avt-bras Cephalos S,Parabr. Cephalos S,CephalosArmschienenS,
Cephalos Guards S,Guardabr. Cephalos S,Gardes Cephalos S,Protez. Cephalos S,Cephalos-Armschutz S,
Conga Vambraces S,Braz. de Conga S,Avant-bras Conga S,Parabraccia Conga S,Conga-Armschienen S,
Conga Guards S,Guard. de Conga S,Gardes Conga S,Protezioni Conga S,Conga-Armschutz S,
Gypceros Vambraces S,Brazales Gypceros S,Avt-bras Gypceros S,Parabr. Gypceros S,GypcerosArmschienenS,
Gypceros Guards S,Guardabr. Gypceros S,Gardes Gypceros S,Protez. Gypceros S,Gypceros-Armschutz S,
Khezu Vambraces S,Brazales de Khezu S,Avant-bras Khezu S,Parabraccia Khezu S,Khezu-Armschienen S,
Khezu Guards S,Guardabr. de Khezu S,Gardes Khezu S,Protezioni Khezu S,Khezu-Armschutz S,
Hermitaur Braces S,Brazales HermitaurS,Avant-bras Herm. S,Parabr. Hermitaur S,HermitaurArmschieneS,
Hermitaur Guards S,Guardabr. HermitaurS,Gardes Hermitaur S,Protez. Hermitaur S,Hermitaur-Armschtz S,
Hypno Vambraces S,Braz. Hypno S,Avant-bras Hypno S,Parabraccia Hypno S,Hypno-Armschienen S,
Hypno Guards S,Guardabr. Hypno S,Gardes Hypno S,Protezioni Hypno S,Hypno-Armschutz S,
Basarios Vambraces S,Brazales Basarios S,Avt-bras Basarios S,Parabr. Basarios S,BasariosArmschien S,
Basarios Guards S,Guardabr. Basarios S,Gardes Basarios S,Protez. Basarios S,Basarios-Armschutz S,
Plesioth Vambraces S,Brazales Plesioth S,Avt-bras Plesioth S,Parabr. Plesioth S,PlesiothArmschienenS,
Plesioth Guards S,Guardabr. Plesioth S,Gardes Plesioth S,Protez. Plesioth S,Plesioth-Armschutz S,
Monoblos Vambraces S,Brazales Monoblos S,Avt-bras Monoblos S,Parabr. Monoblos S,MonoblosArmschienenS,
Monoblos Guards S,Guardabr. Monoblos S,Gardes Monoblos S,Protez. Monoblos S,Monoblos-Armschutz S,
Garuga Vambraces S,Braz. Garuga S,Avant-bras Garuga S,Parabraccia Garuga S,Garuga-Armschienen S,
Garuga Guards S,Guardabr. Garuga S,Gardes Garuga S,Protezioni Garuga S,Garuga-Armschutz S,
Blango Vambraces S,Brazales de Blango S,Avant-bras Blango S,Parabraccia Blango S,Blango-Armschienen S,
Blango Guards S,Guardabrazos BlangoS,Gardes Blango S,Protez. di Blango S,Blango-Armschutz S,
Ceanataur Braces S,Brazales Ceanataur S,Avt-bras Ceanataur S,Parabr. Ceanataur S,CeanataurArmschieneS,
Ceanataur Guards S,Guard. Ceanataur S,Gardes Ceanataur S,Protez. Ceanataur S,Ceanataur-Armschtz S,
Rathian Vambraces S,Brazales Rathian S,Avant-bras Rathian S,Parabr. Rathian S,RathianArmschienen S,
Rathian Guards S,Guardabr. Rathian S,Gardes Rathian S,Protezioni Rathian S,Rathian-Armschutz S,
Narga Vambraces S,Braz. Narga S,Avant-bras Narga S,Parabraccia Narga S,Narga-Armschienen S,
Narga Guards S,Guardabr. Narga S,Gardes Narga S,Protezioni Narga S,Narga-Armschutz S,
